Stat,Rank,Value,Team,Year
4th Down Conversion Pct Defense,T-83,0.556,Georgia Tech Yellow Jackets,2018
Red Zone Offense,T-28,0.889,Georgia Tech Yellow Jackets,2018
Red Zone Defense,129,0.973,Georgia Tech Yellow Jackets,2018
Net Punting,30,39.74,Georgia Tech Yellow Jackets,2018
Punt Returns,67,7.35,Georgia Tech Yellow Jackets,2018
Kickoff Returns,96,19.38,Georgia Tech Yellow Jackets,2018
First Downs Offense,108,214,Georgia Tech Yellow Jackets,2018
First Downs Defense,17,201,Georgia Tech Yellow Jackets,2018
Fewest Penalties Per Game,T-4,4.00,Georgia Tech Yellow Jackets,2018
Fewest Penalty Yards Per Game,6,35.82,Georgia Tech Yellow Jackets,2018
Time of Possession,7,33:30,Georgia Tech Yellow Jackets,2018
Total Offense,63,402.7,Hawaii  Rainbow Warriors,2018
Rushing Offense,58,168.2,Hawaii  Rainbow Warriors,2018
Passing Offense,62,234.5,Hawaii  Rainbow Warriors,2018
Team Passing Efficiency,76,128.39,Hawaii  Rainbow Warriors,2018
Scoring Offense,106,22.8,Hawaii  Rainbow Warriors,2018
Total Defense,114,458.8,Hawaii  Rainbow Warriors,2018
Rushing Defense,110,210.2,Hawaii  Rainbow Warriors,2018
Passing Yards Allowed,100,248.6,Hawaii  Rainbow Warriors,2018
Team Passing Efficiency Defense,125,162.06,Hawaii  Rainbow Warriors,2018
Scoring Defense,T-106,33.9,Hawaii  Rainbow Warriors,2018
Turnover Margin,T-60,0.08,Hawaii  Rainbow Warriors,2018
3rd Down Conversion Pct,82,0.383,Hawaii  Rainbow Warriors,2018
4th Down Conversion Pct,115,0.357,Hawaii  Rainbow Warriors,2018
3rd Down Conversion Pct Defense,125,0.488,Hawaii  Rainbow Warriors,2018
4th Down Conversion Pct Defense,T-114,0.667,Hawaii  Rainbow Warriors,2018
Red Zone Offense,124,0.698,Hawaii  Rainbow Warriors,2018
Red Zone Defense,T-36,0.800,Hawaii  Rainbow Warriors,2018
Net Punting,54,38.26,Hawaii  Rainbow Warriors,2018
Punt Returns,106,5.00,Hawaii  Rainbow Warriors,2018
Kickoff Returns,91,19.80,Hawaii  Rainbow Warriors,2018
First Downs Offense,83,238,Hawaii  Rainbow Warriors,2018
First Downs Defense,T-100,274,Hawaii  Rainbow Warriors,2018
Fewest Penalties Per Game,115,7.75,Hawaii  Rainbow Warriors,2018
Fewest Penalty Yards Per Game,114,68.83,Hawaii  Rainbow Warriors,2018
Time of Possession,27,31:28,Hawaii  Rainbow Warriors,2018
Total Offense,35,436.1,Houston  Cougars,2018
Rushing Offense,53,175.5,Houston  Cougars,2018
Passing Offense,39,260.6,Houston  Cougars,2018
Team Passing Efficiency,34,143.02,Houston  Cougars,2018
Scoring Offense,66,28.4,Houston  Cougars,2018
Total Defense,83,417.5,Houston  Cougars,2018
Rushing Defense,47,149.5,Houston  Cougars,2018
Passing Yards Allowed,117,268.1,Houston  Cougars,2018
Team Passing Efficiency Defense,41,121.40,Houston  Cougars,2018
Scoring Defense,40,23.0,Houston  Cougars,2018
Turnover Margin,85,-0.18,Houston  Cougars,2018
3rd Down Conversion Pct,18,0.453,Houston  Cougars,2018
4th Down Conversion Pct,93,0.438,Houston  Cougars,2018
3rd Down Conversion Pct Defense,73,0.393,Houston  Cougars,2018
4th Down Conversion Pct Defense,105,0.619,Houston  Cougars,2018
Red Zone Offense,T-47,0.864,Houston  Cougars,2018
Red Zone Defense,20,0.762,Houston  Cougars,2018
Net Punting,42,38.85,Houston  Cougars,2018
Punt Returns,114,4.38,Houston  Cougars,2018
Kickoff Returns,21,24.11,Houston  Cougars,2018
First Downs Offense,91,235,Houston  Cougars,2018
First Downs Defense,T-62,248,Houston  Cougars,2018
Fewest Penalties Per Game,T-65,6.00,Houston  Cougars,2018
Fewest Penalty Yards Per Game,71,54.73,Houston  Cougars,2018
Time of Possession,106,28:09,Houston  Cougars,2018
Total Offense,105,349.5,Idaho  Vandals,2018
Rushing Offense,110,124.6,Idaho  Vandals,2018
Passing Offense,70,224.9,Idaho  Vandals,2018
Team Passing Efficiency,53,135.45,Idaho  Vandals,2018
Scoring Offense,T-110,20.9,Idaho  Vandals,2018
Total Defense,65,390.4,Idaho  Vandals,2018
Rushing Defense,71,168.1,Idaho  Vandals,2018
Passing Yards Allowed,62,222.3,Idaho  Vandals,2018
Team Passing Efficiency Defense,70,130.62,Idaho  Vandals,2018
Scoring Defense,T-58,25.8,Idaho  Vandals,2018
Turnover Margin,T-53,0.17,Idaho  Vandals,2018
3rd Down Conversion Pct,101,0.354,Idaho  Vandals,2018
4th Down Conversion Pct,114,0.360,Idaho  Vandals,2018
3rd Down Conversion Pct Defense,81,0.404,Idaho  Vandals,2018
4th Down Conversion Pct Defense,123,0.714,Idaho  Vandals,2018
Red Zone Offense,90,0.805,Idaho  Vandals,2018
Red Zone Defense,35,0.796,Idaho  Vandals,2018
Net Punting,78,37.23,Idaho  Vandals,2018
Punt Returns,90,5.92,Idaho  Vandals,2018
Kickoff Returns,129,16.53,Idaho  Vandals,2018
First Downs Offense,111,211,Idaho  Vandals,2018
First Downs Defense,59,245,Idaho  Vandals,2018
Fewest Penalties Per Game,T-40,5.33,Idaho  Vandals,2018
Fewest Penalty Yards Per Game,42,47.58,Idaho  Vandals,2018
Time of Possession,48,30:48,Idaho  Vandals,2018
Total Offense,126,280.4,Illinois  Fighting Illini,2018
Rushing Offense,121,105.6,Illinois  Fighting Illini,2018
Passing Offense,105,174.8,Illinois  Fighting Illini,2018
Team Passing Efficiency,125,98.12,Illinois  Fighting Illini,2018
Scoring Offense,126,15.4,Illinois  Fighting Illini,2018
Total Defense,85,418.4,Illinois  Fighting Illini,2018
Rushing Defense,115,218.5,Illinois  Fighting Illini,2018
Passing Yards Allowed,33,199.9,Illinois  Fighting Illini,2018
Team Passing Efficiency Defense,79,132.90,Illinois  Fighting Illini,2018
Scoring Defense,91,31.5,Illinois  Fighting Illini,2018
Turnover Margin,T-106,-0.58,Illinois  Fighting Illini,2018
3rd Down Conversion Pct,111,0.335,Illinois  Fighting Illini,2018
4th Down Conversion Pct,T-107,0.400,Illinois  Fighting Illini,2018
3rd Down Conversion Pct Defense,103,0.437,Illinois  Fighting Illini,2018
4th Down Conversion Pct Defense,T-114,0.667,Illinois  Fighting Illini,2018
Red Zone Offense,T-28,0.889,Illinois  Fighting Illini,2018
Red Zone Defense,51,0.814,Illinois  Fighting Illini,2018
Net Punting,36,39.29,Illinois  Fighting Illini,2018
Punt Returns,T-87,6.17,Illinois  Fighting Illini,2018
Kickoff Returns,102,19.25,Illinois  Fighting Illini,2018
First Downs Offense,125,174,Illinois  Fighting Illini,2018
First Downs Defense,T-93,269,Illinois  Fighting Illini,2018
Fewest Penalties Per Game,T-103,7.08,Illinois  Fighting Illini,2018
Fewest Penalty Yards Per Game,105,64.00,Illinois  Fighting Illini,2018
Time of Possession,103,28:14,Illinois  Fighting Illini,2018
Total Offense,67,395.8,Indiana  Hoosiers,2018
Rushing Offense,105,130.1,Indiana  Hoosiers,2018
Passing Offense,37,265.7,Indiana  Hoosiers,2018
Team Passing Efficiency,84,125.56,Indiana  Hoosiers,2018
Scoring Offense,76,26.8,Indiana  Hoosiers,2018
Total Defense,26,340.1,Indiana  Hoosiers,2018
Rushing Defense,59,160.4,Indiana  Hoosiers,2018
Passing Yards Allowed,16,179.7,Indiana  Hoosiers,2018
Team Passing Efficiency Defense,50,123.95,Indiana  Hoosiers,2018
Scoring Defense,54,25.3,Indiana  Hoosiers,2018
Turnover Margin,T-106,-0.58,Indiana  Hoosiers,2018
3rd Down Conversion Pct,85,0.379,Indiana  Hoosiers,2018
4th Down Conversion Pct,79,0.474,Indiana  Hoosiers,2018
3rd Down Conversion Pct Defense,9,0.299,Indiana  Hoosiers,2018
4th Down Conversion Pct Defense,T-72,0.529,Indiana  Hoosiers,2018
Red Zone Offense,47,0.864,Indiana  Hoosiers,2018
Red Zone Defense,98,0.875,Indiana  Hoosiers,2018
Net Punting,69,37.62,Indiana  Hoosiers,2018
Punt Returns,15,12.69,Indiana  Hoosiers,2018
Kickoff Returns,109,18.88,Indiana  Hoosiers,2018
First Downs Offense,64,252,Indiana  Hoosiers,2018
First Downs Defense,20,210,Indiana  Hoosiers,2018
Fewest Penalties Per Game,T-62,5.92,Indiana  Hoosiers,2018
Fewest Penalty Yards Per Game,91,58.92,Indiana  Hoosiers,2018
Time of Possession,100,28:23,Indiana  Hoosiers,2018
Total Offense,107,340.3,Iowa  Hawkeyes,2018
Rushing Offense,91,142.4,Iowa  Hawkeyes,2018
Passing Offense,88,197.8,Iowa  Hawkeyes,2018
Team Passing Efficiency,49,136.53,Iowa  Hawkeyes,2018
Scoring Offense,67,28.3,Iowa  Hawkeyes,2018
Total Defense,33,355.3,Iowa  Hawkeyes,2018
Rushing Defense,39,142.1,Iowa  Hawkeyes,2018
Passing Yards Allowed,49,213.3,Iowa  Hawkeyes,2018
Team Passing Efficiency Defense,11,110.50,Iowa  Hawkeyes,2018
Scoring Defense,T-19,19.9,Iowa  Hawkeyes,2018
Turnover Margin,T-38,0.33,Iowa  Hawkeyes,2018
3rd Down Conversion Pct,98,0.355,Iowa  Hawkeyes,2018
4th Down Conversion Pct,24,0.636,Iowa  Hawkeyes,2018
3rd Down Conversion Pct Defense,T-24,0.333,Iowa  Hawkeyes,2018
4th Down Conversion Pct Defense,T-58,0.478,Iowa  Hawkeyes,2018
Red Zone Offense,103,0.773,Iowa  Hawkeyes,2018
Red Zone Defense,42,0.806,Iowa  Hawkeyes,2018
Net Punting,76,37.38,Iowa  Hawkeyes,2018
Punt Returns,76,6.78,Iowa  Hawkeyes,2018
Kickoff Returns,31,22.76,Iowa  Hawkeyes,2018
First Downs Offense,109,213,Iowa  Hawkeyes,2018
First Downs Defense,42,228,Iowa  Hawkeyes,2018
Fewest Penalties Per Game,38,5.25,Iowa  Hawkeyes,2018
Fewest Penalty Yards Per Game,29,42.83,Iowa  Hawkeyes,2018
Time of Possession,58,30:15,Iowa  Hawkeyes,2018
Total Offense,78,389.3,Iowa St. Cyclones,2018
Rushing Offense,112,119.8,Iowa St. Cyclones,2018
Passing Offense,33,269.5,Iowa St. Cyclones,2018
Team Passing Efficiency,40,139.44,Iowa St. Cyclones,2018
Scoring Offense,52,29.9,Iowa St. Cyclones,2018
Total Defense,45,368.4,Iowa St. Cyclones,2018
Rushing Defense,32,134.3,Iowa St. Cyclones,2018
Passing Yards Allowed,82,234.2,Iowa St. Cyclones,2018
Team Passing Efficiency Defense,99,139.68,Iowa St. Cyclones,2018
Scoring Defense,29,21.0,Iowa St. Cyclones,2018
Turnover Margin,11,0.92,Iowa St. Cyclones,2018
3rd Down Conversion Pct,77,0.391,Iowa St. Cyclones,2018
4th Down Conversion Pct,T-3,0.750,Iowa St. Cyclones,2018
3rd Down Conversion Pct Defense,90,0.418,Iowa St. Cyclones,2018
4th Down Conversion Pct Defense,47,0.462,Iowa St. Cyclones,2018
Red Zone Offense,39,0.878,Iowa St. Cyclones,2018
Red Zone Defense,T-55,0.821,Iowa St. Cyclones,2018
Net Punting,61,38.08,Iowa St. Cyclones,2018
Punt Returns,42,9.05,Iowa St. Cyclones,2018
Kickoff Returns,79,20.50,Iowa St. Cyclones,2018
First Downs Offense,T-64,252,Iowa St. Cyclones,2018
First Downs Defense,T-55,243,Iowa St. Cyclones,2018
Fewest Penalties Per Game,17,4.50,Iowa St. Cyclones,2018
Fewest Penalty Yards Per Game,22,41.33,Iowa St. Cyclones,2018
Time of Possession,71,29:37,Iowa St. Cyclones,2018
Total Offense,117,329.0,Kansas  Jayhawks,2018
Rushing Offense,123,102.6,Kansas  Jayhawks,2018
Passing Offense,67,226.4,Kansas  Jayhawks,2018
Team Passing Efficiency,118,106.40,Kansas  Jayhawks,2018
Scoring Offense,119,18.7,Kansas  Jayhawks,2018
Total Defense,117,468.3,Kansas  Jayhawks,2018
Rushing Defense,75,171.6,Kansas  Jayhawks,2018
Passing Yards Allowed,125,296.8,Kansas  Jayhawks,2018
Team Passing Efficiency Defense,128,172.36,Kansas  Jayhawks,2018
Scoring Defense,128,43.4,Kansas  Jayhawks,2018
Turnover Margin,127,-1.42,Kansas  Jayhawks,2018
3rd Down Conversion Pct,125,0.289,Kansas  Jayhawks,2018
4th Down Conversion Pct,61,0.542,Kansas  Jayhawks,2018
3rd Down Conversion Pct Defense,80,0.401,Kansas  Jayhawks,2018
4th Down Conversion Pct Defense,T-105,0.619,Kansas  Jayhawks,2018
Red Zone Offense,9,0.938,Kansas  Jayhawks,2018
Red Zone Defense,118,0.898,Kansas  Jayhawks,2018
Net Punting,121,34.57,Kansas  Jayhawks,2018
Punt Returns,85,6.23,Kansas  Jayhawks,2018
Kickoff Returns,80,20.49,Kansas  Jayhawks,2018
First Downs Offense,123,194,Kansas  Jayhawks,2018
First Downs Defense,T-87,265,Kansas  Jayhawks,2018
Fewest Penalties Per Game,45,5.50,Kansas  Jayhawks,2018
Fewest Penalty Yards Per Game,38,46.08,Kansas  Jayhawks,2018
Time of Possession,114,27:30,Kansas  Jayhawks,2018
Total Offense,96,368.3,Kansas St. Wildcats,2018
Rushing Offense,41,186.7,Kansas St. Wildcats,2018
Passing Offense,98,181.7,Kansas St. Wildcats,2018
Team Passing Efficiency,31,144.12,Kansas St. Wildcats,2018
Scoring Offense,T-37,32.1,Kansas St. Wildcats,2018
Total Defense,97,432.0,Kansas St. Wildcats,2018
Rushing Defense,20,121.8,Kansas St. Wildcats,2018
Passing Yards Allowed,128,310.3,Kansas St. Wildcats,2018
Team Passing Efficiency Defense,88,134.97,Kansas St. Wildcats,2018
Scoring Defense,61,25.8,Kansas St. Wildcats,2018
Turnover Margin,15,0.83,Kansas St. Wildcats,2018
3rd Down Conversion Pct,116,0.324,Kansas St. Wildcats,2018
4th Down Conversion Pct,129,0.143,Kansas St. Wildcats,2018
3rd Down Conversion Pct Defense,95,0.425,Kansas St. Wildcats,2018
4th Down Conversion Pct Defense,70,0.526,Kansas St. Wildcats,2018
Red Zone Offense,72,0.837,Kansas St. Wildcats,2018
Red Zone Defense,30,0.787,Kansas St. Wildcats,2018
Net Punting,25,40.00,Kansas St. Wildcats,2018
Punt Returns,7,14.78,Kansas St. Wildcats,2018
Kickoff Returns,15,24.67,Kansas St. Wildcats,2018
First Downs Offense,118,204,Kansas St. Wildcats,2018
First Downs Defense,T-77,258,Kansas St. Wildcats,2018
Fewest Penalties Per Game,T-42,5.42,Kansas St. Wildcats,2018
Fewest Penalty Yards Per Game,44,48.00,Kansas St. Wildcats,2018
Time of Possession,61,30:13,Kansas St. Wildcats,2018
Total Offense,127,275.2,Kent St. Golden Flashes,2018
Rushing Offense,80,152.5,Kent St. Golden Flashes,2018
Passing Offense,123,122.7,Kent St. Golden Flashes,2018
Team Passing Efficiency,124,100.02,Kent St. Golden Flashes,2018
Scoring Offense,128,12.8,Kent St. Golden Flashes,2018
Total Defense,79,408.3,Kent St. Golden Flashes,2018
Rushing Defense,113,213.3,Kent St. Golden Flashes,2018
Passing Yards Allowed,29,195.1,Kent St. Golden Flashes,2018
Team Passing Efficiency Defense,84,133.89,Kent St. Golden Flashes,2018
Scoring Defense,111,35.1,Kent St. Golden Flashes,2018
Turnover Margin,106,-0.58,Kent St. Golden Flashes,2018
3rd Down Conversion Pct,126,0.287,Kent St. Golden Flashes,2018
4th Down Conversion Pct,127,0.200,Kent St. Golden Flashes,2018
3rd Down Conversion Pct Defense,14,0.315,Kent St. Golden Flashes,2018
4th Down Conversion Pct Defense,T-114,0.667,Kent St. Golden Flashes,2018
Red Zone Offense,129,0.640,Kent St. Golden Flashes,2018
Red Zone Defense,68,0.837,Kent St. Golden Flashes,2018
Net Punting,38,39.23,Kent St. Golden Flashes,2018
Punt Returns,94,5.76,Kent St. Golden Flashes,2018
Kickoff Returns,124,17.31,Kent St. Golden Flashes,2018
First Downs Offense,126,169,Kent St. Golden Flashes,2018
First Downs Defense,52,241,Kent St. Golden Flashes,2018
Fewest Penalties Per Game,T-119,7.83,Kent St. Golden Flashes,2018
Fewest Penalty Yards Per Game,125,74.58,Kent St. Golden Flashes,2018
Time of Possession,28,31:25,Kent St. Golden Flashes,2018
Total Offense,103,350.8,Kentucky  Wildcats,2018
Rushing Offense,57,169.8,Kentucky  Wildcats,2018
Passing Offense,99,181.1,Kentucky  Wildcats,2018
Team Passing Efficiency,70,130.77,Kentucky  Wildcats,2018
Scoring Offense,T-84,25.8,Kentucky  Wildcats,2018
Total Defense,89,425.7,Kentucky  Wildcats,2018
Rushing Defense,61,162.2,Kentucky  Wildcats,2018
Passing Yards Allowed,112,263.5,Kentucky  Wildcats,2018
Team Passing Efficiency Defense,105,142.34,Kentucky  Wildcats,2018
Scoring Defense,80,28.6,Kentucky  Wildcats,2018
Turnover Margin,T-28,0.42,Kentucky  Wildcats,2018
3rd Down Conversion Pct,57,0.411,Kentucky  Wildcats,2018
4th Down Conversion Pct,T-54,0.556,Kentucky  Wildcats,2018
3rd Down Conversion Pct Defense,86,0.411,Kentucky  Wildcats,2018
4th Down Conversion Pct Defense,121,0.708,Kentucky  Wildcats,2018
Red Zone Offense,13,0.923,Kentucky  Wildcats,2018
Red Zone Defense,122,0.907,Kentucky  Wildcats,2018
Net Punting,23,40.10,Kentucky  Wildcats,2018
Punt Returns,3,17.33,Kentucky  Wildcats,2018
Kickoff Returns,57,21.53,Kentucky  Wildcats,2018
First Downs Offense,103,225,Kentucky  Wildcats,2018
First Downs Defense,93,269,Kentucky  Wildcats,2018
Fewest Penalties Per Game,T-45,5.50,Kentucky  Wildcats,2018
Fewest Penalty Yards Per Game,39,46.75,Kentucky  Wildcats,2018
Time of Possession,47,30:51,Kentucky  Wildcats,2018
Total Offense,53,412.1,LSU Fighting Tigers,2018
Rushing Offense,29,210.8,LSU Fighting Tigers,2018
Passing Offense,85,201.3,LSU Fighting Tigers,2018
Team Passing Efficiency,17,151.48,LSU Fighting Tigers,2018
Scoring Offense,71,28.1,LSU Fighting Tigers,2018
Total Defense,13,311.7,LSU Fighting Tigers,2018
Rushing Defense,23,126.4,LSU Fighting Tigers,2018
Passing Yards Allowed,20,185.3,LSU Fighting Tigers,2018
Team Passing Efficiency Defense,8,108.41,LSU Fighting Tigers,2018
Scoring Defense,16,18.8,LSU Fighting Tigers,2018
Turnover Margin,T-18,0.67,LSU Fighting Tigers,2018
3rd Down Conversion Pct,66,0.400,LSU Fighting Tigers,2018
4th Down Conversion Pct,T-89,0.444,LSU Fighting Tigers,2018
3rd Down Conversion Pct Defense,35,0.345,LSU Fighting Tigers,2018
4th Down Conversion Pct Defense,18,0.400,LSU Fighting Tigers,2018
Red Zone Offense,100,0.784,LSU Fighting Tigers,2018
Red Zone Defense,T-59,0.829,LSU Fighting Tigers,2018
Net Punting,41,38.89,LSU Fighting Tigers,2018
Punt Returns,19,11.69,LSU Fighting Tigers,2018
Kickoff Returns,85,20.22,LSU Fighting Tigers,2018
First Downs Offense,T-79,239,LSU Fighting Tigers,2018
First Downs Defense,T-13,194,LSU Fighting Tigers,2018
Fewest Penalties Per Game,55,5.83,LSU Fighting Tigers,2018
Fewest Penalty Yards Per Game,63,52.58,LSU Fighting Tigers,2018
Time of Possession,20,32:09,LSU Fighting Tigers,2018
Total Offense,21,458.0,La.-Monroe Warhawks,2018
Rushing Offense,55,170.3,La.-Monroe Warhawks,2018
Passing Offense,24,287.7,La.-Monroe Warhawks,2018
Team Passing Efficiency,28,146.18,La.-Monroe Warhawks,2018
Scoring Offense,27,33.9,La.-Monroe Warhawks,2018
Total Defense,128,532.1,La.-Monroe Warhawks,2018
Rushing Defense,118,232.8,La.-Monroe Warhawks,2018
Passing Yards Allowed,127,299.3,La.-Monroe Warhawks,2018
Team Passing Efficiency Defense,126,164.13,La.-Monroe Warhawks,2018
Scoring Defense,125,41.0,La.-Monroe Warhawks,2018
Turnover Margin,T-92,-0.33,La.-Monroe Warhawks,2018
3rd Down Conversion Pct,33,0.435,La.-Monroe Warhawks,2018
4th Down Conversion Pct,49,0.565,La.-Monroe Warhawks,2018
3rd Down Conversion Pct Defense,117,0.460,La.-Monroe Warhawks,2018
4th Down Conversion Pct Defense,83,0.556,La.-Monroe Warhawks,2018
Red Zone Offense,73,0.833,La.-Monroe Warhawks,2018
Red Zone Defense,120,0.902,La.-Monroe Warhawks,2018
Net Punting,68,37.67,La.-Monroe Warhawks,2018
Punt Returns,73,7.07,La.-Monroe Warhawks,2018
Kickoff Returns,11,24.82,La.-Monroe Warhawks,2018
First Downs Offense,53,259,La.-Monroe Warhawks,2018
First Downs Defense,121,301,La.-Monroe Warhawks,2018
Fewest Penalties Per Game,40,5.33,La.-Monroe Warhawks,2018
Fewest Penalty Yards Per Game,34,44.25,La.-Monroe Warhawks,2018
Time of Possession,70,29:42,La.-Monroe Warhawks,2018
Total Offense,64,398.5,Louisiana Ragin' Cajuns,2018
Rushing Offense,46,183.7,Louisiana Ragin' Cajuns,2018
Passing Offense,77,214.8,Louisiana Ragin' Cajuns,2018
Team Passing Efficiency,96,122.17,Louisiana Ragin' Cajuns,2018
Scoring Offense,68,28.2,Louisiana Ragin' Cajuns,2018
Total Defense,123,492.7,Louisiana Ragin' Cajuns,2018
Rushing Defense,121,236.6,Louisiana Ragin' Cajuns,2018
Passing Yards Allowed,106,256.1,Louisiana Ragin' Cajuns,2018
Team Passing Efficiency Defense,114,150.67,Louisiana Ragin' Cajuns,2018
Scoring Defense,123,40.0,Louisiana Ragin' Cajuns,2018
Turnover Margin,74,-0.08,Louisiana Ragin' Cajuns,2018
3rd Down Conversion Pct,94,0.360,Louisiana Ragin' Cajuns,2018
4th Down Conversion Pct,T-70,0.500,Louisiana Ragin' Cajuns,2018
3rd Down Conversion Pct Defense,123,0.485,Louisiana Ragin' Cajuns,2018
4th Down Conversion Pct Defense,94,0.588,Louisiana Ragin' Cajuns,2018
Red Zone Offense,10,0.929,Louisiana Ragin' Cajuns,2018
Red Zone Defense,93,0.867,Louisiana Ragin' Cajuns,2018
Net Punting,85,37.02,Louisiana Ragin' Cajuns,2018
Punt Returns,17,12.26,Louisiana Ragin' Cajuns,2018
Kickoff Returns,44,21.95,Louisiana Ragin' Cajuns,2018
First Downs Offense,75,246,Louisiana Ragin' Cajuns,2018
First Downs Defense,122,302,Louisiana Ragin' Cajuns,2018
Fewest Penalties Per Game,T-24,4.83,Louisiana Ragin' Cajuns,2018
Fewest Penalty Yards Per Game,21,40.58,Louisiana Ragin' Cajuns,2018
Time of Possession,74,29:34,Louisiana Ragin' Cajuns,2018
Total Offense,62,403.0,Louisiana Tech Bulldogs,2018
Rushing Offense,54,172.5,Louisiana Tech Bulldogs,2018
Passing Offense,65,230.5,Louisiana Tech Bulldogs,2018
Team Passing Efficiency,83,126.39,Louisiana Tech Bulldogs,2018
Scoring Offense,49,30.5,Louisiana Tech Bulldogs,2018
Total Defense,59,385.5,Louisiana Tech Bulldogs,2018
Rushing Defense,81,176.6,Louisiana Tech Bulldogs,2018
Passing Yards Allowed,43,208.9,Louisiana Tech Bulldogs,2018
Team Passing Efficiency Defense,33,119.03,Louisiana Tech Bulldogs,2018
Scoring Defense,55,25.4,Louisiana Tech Bulldogs,2018
Turnover Margin,T-7,1.00,Louisiana Tech Bulldogs,2018
3rd Down Conversion Pct,62,0.407,Louisiana Tech Bulldogs,2018
4th Down Conversion Pct,T-51,0.563,Louisiana Tech Bulldogs,2018
3rd Down Conversion Pct Defense,87,0.414,Louisiana Tech Bulldogs,2018
4th Down Conversion Pct Defense,T-114,0.667,Louisiana Tech Bulldogs,2018
Red Zone Offense,59,0.852,Louisiana Tech Bulldogs,2018
Red Zone Defense,10,0.732,Louisiana Tech Bulldogs,2018
Net Punting,115,35.36,Louisiana Tech Bulldogs,2018
Punt Returns,T-78,6.71,Louisiana Tech Bulldogs,2018
Kickoff Returns,37,22.27,Louisiana Tech Bulldogs,2018
First Downs Offense,29,281,Louisiana Tech Bulldogs,2018
First Downs Defense,100,274,Louisiana Tech Bulldogs,2018
Fewest Penalties Per Game,22,4.69,Louisiana Tech Bulldogs,2018
Fewest Penalty Yards Per Game,20,40.54,Louisiana Tech Bulldogs,2018
Time of Possession,62,30:10,Louisiana Tech Bulldogs,2018
Total Offense,3,560.5,Louisville  Cardinals,2018
Rushing Offense,13,249.9,Louisville  Cardinals,2018
Passing Offense,15,310.6,Louisville  Cardinals,2018
Team Passing Efficiency,19,151.08,Louisville  Cardinals,2018
Scoring Offense,13,39.0,Louisville  Cardinals,2018
Total Defense,61,386.8,Louisville  Cardinals,2018
Rushing Defense,52,153.9,Louisville  Cardinals,2018
Passing Yards Allowed,79,232.8,Louisville  Cardinals,2018
Team Passing Efficiency Defense,76,132.36,Louisville  Cardinals,2018
Scoring Defense,70,27.1,Louisville  Cardinals,2018
Turnover Margin,T-49,0.25,Louisville  Cardinals,2018
3rd Down Conversion Pct,12,0.461,Louisville  Cardinals,2018
4th Down Conversion Pct,39,0.593,Louisville  Cardinals,2018
3rd Down Conversion Pct Defense,85,0.409,Louisville  Cardinals,2018
4th Down Conversion Pct Defense,T-94,0.588,Louisville  Cardinals,2018
Red Zone Offense,T-62,0.849,Louisville  Cardinals,2018
Red Zone Defense,81,0.853,Louisville  Cardinals,2018
Net Punting,27,39.93,Louisville  Cardinals,2018
Punt Returns,107,4.96,Louisville  Cardinals,2018
Kickoff Returns,93,19.68,Louisville  Cardinals,2018
First Downs Offense,6,332,Louisville  Cardinals,2018
First Downs Defense,T-55,243,Louisville  Cardinals,2018
Fewest Penalties Per Game,81,6.33,Louisville  Cardinals,2018
Fewest Penalty Yards Per Game,60,51.83,Louisville  Cardinals,2018
Time of Possession,55,30:25,Louisville  Cardinals,2018
Total Offense,91,379.8,Marshall  Thundering Herd,2018
Rushing Offense,96,140.2,Marshall  Thundering Herd,2018
Passing Offense,55,239.6,Marshall  Thundering Herd,2018
Team Passing Efficiency,66,131.41,Marshall  Thundering Herd,2018
Scoring Offense,T-77,26.7,Marshall  Thundering Herd,2018
Total Defense,27,341.7,Marshall  Thundering Herd,2018
Rushing Defense,19,121.2,Marshall  Thundering Herd,2018
Passing Yards Allowed,59,220.5,Marshall  Thundering Herd,2018
Team Passing Efficiency Defense,43,122.28,Marshall  Thundering Herd,2018
Scoring Defense,T-21,19.9,Marshall  Thundering Herd,2018
Turnover Margin,T-111,-0.62,Marshall  Thundering Herd,2018
3rd Down Conversion Pct,26,0.444,Marshall  Thundering Herd,2018
4th Down Conversion Pct,96,0.429,Marshall  Thundering Herd,2018
3rd Down Conversion Pct Defense,43,0.360,Marshall  Thundering Herd,2018
4th Down Conversion Pct Defense,38,0.440,Marshall  Thundering Herd,2018
Red Zone Offense,T-93,0.800,Marshall  Thundering Herd,2018
Red Zone Defense,T-10,0.732,Marshall  Thundering Herd,2018
Net Punting,20,40.59,Marshall  Thundering Herd,2018
Punt Returns,127,1.86,Marshall  Thundering Herd,2018
Kickoff Returns,42,22.10,Marshall  Thundering Herd,2018
First Downs Offense,44,265,Marshall  Thundering Herd,2018
First Downs Defense,67,250,Marshall  Thundering Herd,2018
Fewest Penalties Per Game,T-92,6.54,Marshall  Thundering Herd,2018
Fewest Penalty Yards Per Game,94,59.77,Marshall  Thundering Herd,2018
Time of Possession,37,31:01,Marshall  Thundering Herd,2018
Total Offense,119,323.3,"Maryland  Terrapins, Terps",2018
Rushing Offense,67,161.7,"Maryland  Terrapins, Terps",2018
Passing Offense,115,161.7,"Maryland  Terrapins, Terps",2018
Team Passing Efficiency,108,116.81,"Maryland  Terrapins, Terps",2018
Scoring Offense,T-98,24.1,"Maryland  Terrapins, Terps",2018
Total Defense,86,419.4,"Maryland  Terrapins, Terps",2018
